Question,Answer

Внутренняя энергия 2 молей идеального одноатомного газа равна 5000 Дж. В результате изотермического расширения газ совершил работу 1000 Дж. Внутренняя энергия газа после расширения (в Дж) равна:,5000

Эффективный диаметр молекулы равен  . Укажите среднее расстояние между молекулами идеального газа при нормальных условиях (м):,2*10^(-7)

"Идеальная тепловая машина работает по циклу Карно, состоящему из двух изотерм и двух адиабат. За один цикл работы тепловой машины энтропия рабочего тела...",НЕ (станет равной нулю)

Сколько молекул содержит 90 г воды?,3*10^24

"Политропическим называется процесс, происходящий  при постоянной (ом) …",теплоемкости

"укажите термодинамическую вероятность  и обычную вероятность макросостояния газа, заключающегося в том, что в левой половине сосуда, в котором заключен газ, находится две молекулы из общего числа четырех молекул","НЕ (термодинамическая = 4, обычная вероятност 1/4)"

При диффузии переносится ...,масса вещества

Движущей силой диффузии является ...,неоднородность концентрации

Какое из приведенных выражений первого начала термодинамики применимо только к изобарическому процессу?,НЕ (Q = (m/M)*CT)

Сколько молекул содержится в 10 молях вещества?,6*10^24

выберите верные утверждения относительно функции плотности вероятности распределения молекул по скоростям,"Функция начиналась в нули, достигает максимума и затем асимпотически стремится у нулю | Площадь, охватываемая кривой и осью равна единице"

"Два моля идеального одноатомного газа находятся при температуре Т. Для того, чтобы изобарно увеличить объем газа в два раза, ему необходимо сообщить количество теплоты, равное…",5RT

Какие из приведенных уравнений соответствуют адиабатическому процессу?,PV^Y = const | (T^Y)*(V^(Y - 1)) = const

Чему равно отношение   для идеального двухатомного газа при умеренных температурах ?,1.4

Найти удельную теплоемкость  кислорода для изохорного процесса (в Дж/кг К),НЕ 649

В каком процессе работа идеального газа равна нулю?,Изохорном

Установите соответствие между изопроцессом и выражением для работы расширения,(m/M)(i/2)(T1 - T2)

Удельная изобарная теплоемкость двухатомного идеального газа равна:,НЕ (5/2u)R

Движущей силой вязкости является,НЕ неоднородность температуры

Верные утверждения:,"1) работа, совершаемая термодинамической системой, является функцией процесса, т.е. зависит от вида процесса, в ходе которого система переходит из одного состояния в другое | 2) при равновесном расширении система совершает максимальную работу | 3) при утечке газа из баллона в вакуум, газ не совершает работу"

